HEAP,0.71,3968,0,0
Algorithm,Time(s),Memory(KB),0,0
QUICK,0.91,4096,0,0
SELECTION,1.53,4096,0,0
MERGE,1.09,3968,0,0
RQUICK,0.76,3968,0,0
BUBBLE,2.87,3840,2.87,0
